annee;patho_niv1;patho_niv2;patho_niv3;top;cla_age_5;sexe;region;dept;ntop;npop;prev;niveau_prioritaire;libelle_classe_age;libelle_sexe;tri
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;6;999;20;350;4.913;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;11;77;2890;15420;18.717;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;11;78;3520;19000;18.51;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;11;91;3120;16100;19.354;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;24;28;1270;6650;19.146;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;24;36;920;4980;18.518;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;27;25;1490;8820;16.874;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;27;70;800;4220;18.986;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;28;27;1560;8700;17.934;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;28;50;2160;10420;20.739;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;32;59;7770;36990;20.992;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;32;62;5530;23290;23.757;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;32;80;2130;9120;23.322;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;32;999;19550;88540;22.082;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;44;10;1070;5390;19.918;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;44;51;1780;8910;19.973;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;44;55;590;3390;17.312;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;44;57;3540;17990;19.671;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;44;67;3230;17520;18.406;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;44;68;2030;12220;16.641;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;52;44;3730;21610;17.244;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;52;49;2550;13480;18.893;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;52;53;1230;5620;21.854;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;52;85;2540;13190;19.254;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;53;29;3660;18650;19.604;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;75;16;1170;6760;17.347;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;75;17;2610;13910;18.785;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;75;19;990;5310;18.558;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;75;33;4220;24140;17.47;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;75;87;1510;7050;21.463;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;76;11;1010;6960;14.577;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;76;32;610;4100;14.844;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;76;65;810;5130;15.718;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;76;82;720;4470;16.125;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;76;9;450;3020;14.944;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;76;999;15780;103120;15.298;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;84;26;1010;8830;11.41;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;84;38;2100;18680;11.221;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;84;69;3660;26050;14.035;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;84;74;1390;10480;13.259;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;93;5;480;2620;18.369;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;2;93;6;3730;22850;16.319;2,3;de 80 à 84 ans;femmes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;2;972;700;10940;6.38;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;11;78;5570;33450;16.662;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;11;92;5090;33260;15.303;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;11;95;3950;21930;18.02;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;24;36;1400;8640;16.14;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;27;71;3480;19960;17.407;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;27;999;15160;90180;16.813;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;28;61;1780;10090;17.633;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;28;76;6390;34350;18.6;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;32;80;3190;15240;20.941;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;44;52;1000;6180;16.093;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;44;55;940;5820;16.054;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;44;57;5450;30620;17.791;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;44;88;2010;12550;16.032;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;52;72;3320;17590;18.893;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;52;85;4210;23530;17.874;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;53;56;4440;26370;16.855;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;53;999;19310;107340;17.987;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;75;16;1890;11990;15.773;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;75;33;6690;41500;16.114;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;75;64;3430;23610;14.509;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;75;79;2490;12400;20.044;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;75;87;2330;12120;19.216;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;76;48;430;2650;16.27;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;76;9;730;5320;13.673;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;84;15;890;5850;15.192;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;84;38;3530;33130;10.652;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;84;63;3000;19480;15.402;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;84;69;5840;45060;12.966;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;84;7;1350;10940;12.298;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;93;84;2350;16920;13.884;2,3;de 80 à 84 ans;tous sexes;51.0
2020;Traitements du risque vasculaire (hors pathologies);Traitements hypolipémiants (hors pathologies);Traitements hypolipémiants (hors pathologies);TFC_LIP_EXC;80-84;9;93;999;23870;165350;14.436;2,3;de 80 à 84 ans;tous sexes;51.0
